FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,"Spokane County, WA",US,2020-03-08T21:53:04,47.6587,-117.4225,1,0,0,,
,,"St. Louis County, MO",US,2020-03-08T11:23:08,38.6103,-90.4125,1,0,0,,
,,"Suffolk County, NY",US,2020-03-08T16:03:05,40.9849,-72.6151,1,0,0,,
,,"Tulsa County, OK",US,2020-03-07T04:43:02,36.1593,-95.941,1,0,0,,
,,"Ulster County, NY",US,2020-03-08T16:23:07,41.8586,-74.3118,1,0,0,,
,,"Umatilla, OR",US,2020-03-02T20:23:16,45.775,-118.7606,1,0,0,,
,,"Unknown Location, MA",US,2020-03-08T21:23:03,42.4072,-71.3824,1,0,0,,
,,"Volusia County, FL",US,2020-03-08T03:03:08,29.028,-81.0755,1,0,0,,
,,"Wake County, NC",US,2020-03-03T20:53:02,35.8032,-78.5661,1,0,0,,
,,"Wayne County, PA",US,2020-03-06T16:13:15,41.6739,-75.2479,1,0,0,,
,,"Williamson County, TN",US,2020-03-05T23:33:03,35.9179,-86.8622,1,0,0,,
,,"Yolo County, CA",US,2020-03-06T20:13:14,38.7646,-121.9018,1,0,0,,
,,,Ukraine,2020-03-03T15:33:02,48.3794,31.1656,1,0,0,,
,,,Vatican City,2020-03-06T15:43:02,41.9029,12.4534,1,0,0,,
,,From Diamond Princess,Australia,2020-02-29T02:03:10,35.4437,139.638,0,0,0,,
,,Northern Territory,Australia,2020-03-06T04:33:03,-12.4634,130.8456,0,0,0,,
,,"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,29.3829,-98.6134,0,0,0,,
,,"Montgomery County, TX",US,2020-03-07T19:53:02,30.3213,-95.4778,0,0,0,,
,,"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,41.2545,-95.9758,0,0,0,,
,,"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,38.2721,-121.9399,0,0,0,,
